Lugar,N,W,Sum - Lugar
Bajo Medio,8.88152778,76.51997222,
,8.88238889,76.50716667,
Candelaria,8.12266667,76.89844444,
,8.12963889,76.90736111,
,8.13363333,76.91630000,
Coquitos,7.98423333,76.74125000,
,7.98919444,76.74058333,
Currulao,8.00461111,76.88166667,
,8.00950000,76.75016667,
El Uno,8.10852778,76.74458333,
,8.10902778,7.67443889,
La Paila,8.03836111,76.84455277,
Leoncito,8.01538889,76.85413889,
Margarita,8.12598333,76.81620000,
,8.12644444,76.80983333,
Marirrio,8.02088889,76.89516667,
P.Arenas N,8.55333333,76.94086111,
,8.55497222,76.93902778,
P.Arenas S,8.52194444,76.92738889,
,8.52219444,76.91572222,
,8.52591667,76.92206667,
Palmares,8.50902778,76.86450000,
Punta Rey,8.89194444,76.43469444,
,8.89283333,76.43447222,
RioNecocli,8.47011111,76.81772222,
,8.47105000,76.83511667,
,8.47158611,76.82143889,
Rionegro,8.53260833,76.92341111,
Roto,8.23647222,76.94266667,
,8.23673333,76.94396667,
,8.24186111,76.94947222,
Sabanilla,8.76527778,76.63900000,
Yarumal,8.00633333,76.72669444,
,8.11003333,76.77343333,
Total Result,,,
